pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
HAT-P-38 b,HAT-P-38,0.886,0.267,0.267,0.0523,0.067,1,1,4.640382,0.267,0.000254985,0.886,0.067,0.0523
HATS-14 b,HATS-14,0.967,1.071,1.071,0.03815,0.142,1,1,2.7667641,1.071,0.001022805,0.967,0.142,0.03815
HD 42813 b,HD 42813,0.901,0.0286318,0.0286318019395919,0.111,0.0,1,3,13.6308205,0.0286318,2.7343369e-05,0.901,0.0,0.111
TOI-1136 c,TOI-1136,1.022,0.01988494,0.0198849437646396,0.0669,0.11,1,6,6.2574,0.01988494,1.89901177e-05,1.022,0.11,0.0669
TOI-1136 e,TOI-1136,1.022,0.01909836,0.0190983557992662,0.14,0.0425,1,6,18.801,0.01909836,1.8238933800000002e-05,1.022,0.0425,0.14
TOI-1136 g,TOI-1136,1.022,0.01761957,0.0176195704243642,0.229,0.04,1,6,39.545,0.01761957,1.682668935e-05,1.022,0.04,0.229
TOI-2076 d,TOI-2076,0.8557,0.0912442,0.0912442039833148,0.199,0.0,1,3,35.125686,0.0912442,8.7138211e-05,0.8557,0.0,0.199
TOI-677 b,TOI-677,1.181,1.234,1.234,0.1041,0.46,1,1,11.2365985,1.234,0.00117847,1.181,0.46,0.1041
NGTS-20 b,NGTS-20,1.47,2.98,2.98,0.313,0.432,1,1,54.18915,2.98,0.0028459,1.47,0.432,0.313
GJ 3090 b,GJ 3090,0.519,0.01050882,0.0105088152173887,0.03165,0.32,1,1,2.8531054,0.01050882,1.0035923100000001e-05,0.519,0.32,0.03165
TOI-2525 c,TOI-2525,0.849,0.657,0.657,0.249,0.157,1,2,49.2519,0.657,0.0006274350000000001,0.849,0.157,0.249
HD 80653 b,HD 80653,1.18,0.01799713,0.0179971326477435,0.01661,0.0,1,2,0.719573,0.01799713,1.718725915e-05,1.18,0.0,0.01661
HD 100777 b,HD 100777,1.08,1.23,1.23,1.06,0.38,1,1,383.0,1.23,0.00117465,1.08,0.38,1.06
HD 141937 b,HD 141937,1.09,9.69,,1.5,0.41,1,1,653.21997,9.69,0.00925395,1.09,0.41,1.5
HD 162020 b,HD 162020,0.42,9.84,,0.08,0.28,1,1,8.4282,9.84,0.0093972,0.42,0.28,0.08
47 UMa d,47 UMa,1.06,1.64,,11.6,0.16,1,3,14002.0,1.64,0.0015662,1.06,0.16,11.6
